X12..Women.who.are.literate....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....
Low 3,Low 12,Low 13,Low 14,Medium 15,High 16
Low 3,Medium 12,Medium 13,Low 14,Medium 15,High 16
Medium 3,Low 12,Medium 13,Low 14,Medium 15,Medium 16
Medium 3,Low 12,Low 13,Low 14,Low 15,Medium 16
Medium 3,Low 12,Low 13,Low 14,Medium 15,Medium 16
Medium 3,Low 12,Medium 13,Low 14,Medium 15,Medium 16
Low 3,Low 12,Medium 13,High 14,Medium 15,High 16
Low 3,Low 12,Low 13,Low 14,Medium 15,Medium 16
Low 3,Low 12,Low 13,Low 14,Medium 15,Medium 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Medium 16
Low 3,High 12,Medium 13,Low 14,Medium 15,Medium 16
Low 3,Medium 12,Low 13,Low 14,Medium 15,Medium 16
Medium 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
Low 3,Low 12,Medium 13,Medium 14,Low 15,Low 16
Low 3,Low 12,Low 13,Low 14,Low 15,Low 16
Low 3,High 12,Low 13,Medium 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Medium 16
Low 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Medium 12,Medium 13,Medium 14,Low 15,Low 16
High 3,Low 12,Medium 13,High 14,Low 15,Low 16
Medium 3,Low 12,Low 13,Medium 14,Low 15,Medium 16
Medium 3,Medium 12,High 13,High 14,Medium 15,Medium 16
Medium 3,Medium 12,High 13,High 14,Low 15,Low 16
Low 3,Medium 12,Medium 13,High 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Medium 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Medium 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Medium 16
Medium 3,Low 12,Low 13,Medium 14,Low 15,Low 16
Low 3,High 12,Medium 13,High 14,Medium 15,Low 16
Medium 3,High 12,Medium 13,High 14,Medium 15,Low 16
Medium 3,High 12,Low 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Medium 15,Low 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Low 3,Medium 12,Low 13,Low 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Medium 16
High 3,Medium 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Medium 12,Low 13,Medium 14,Low 15,Low 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Medium 12,High 13,High 14,Medium 15,Low 16
High 3,High 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,High 13,High 14,Medium 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
High 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Low 13,Medium 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Medium 3,High 12,Medium 13,Low 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Low 16
Low 3,High 12,Medium 13,Medium 14,Medium 15,Medium 16
Low 3,High 12,Medium 13,Low 14,High 15,High 16
Low 3,High 12,Low 13,Low 14,High 15,Medium 16
Low 3,High 12,Low 13,Low 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,Medium 13,High 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,Low 13,Low 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,Medium 12,Low 13,Low 14,Medium 15,Medium 16
Low 3,Medium 12,Low 13,Medium 14,Medium 15,Medium 16
Low 3,High 12,Medium 13,Low 14,High 15,Medium 16
Low 3,High 12,Low 13,Low 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Low 3,High 12,Medium 13,Medium 14,Medium 15,Medium 16
Low 3,High 12,Low 13,Medium 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Medium 3,High 12,High 13,High 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Medium 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,Low 12,High 13,High 14,Medium 15,Low 16
Low 3,Medium 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,High 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,High 13,High 14,Medium 15,Low 16
Low 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
High 3,High 12,Low 13,Medium 14,Medium 15,Low 16
High 3,Medium 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
Medium 3,High 12,Medium 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,High 13,High 14,High 15,Medium 16
Medium 3,Medium 12,High 13,High 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,Low 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,High 12,High 13,High 14,High 15,Medium 16
High 3,Medium 12,Medium 13,Low 14,Medium 15,High 16
High 3,Low 12,Low 13,Medium 14,Medium 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,High 13,High 14,Low 15,Low 16
High 3,Medium 12,Medium 13,High 14,Medium 15,High 16
High 3,Medium 12,Low 13,Low 14,Low 15,Medium 16
High 3,Medium 12,Medium 13,Medium 14,Medium 15,High 16
High 3,Low 12,Medium 13,Medium 14,Low 15,Low 16
High 3,Low 12,High 13,High 14,Low 15,Low 16
Low 3,Medium 12,High 13,High 14,Medium 15,High 16
Low 3,Medium 12,Medium 13,Medium 14,High 15,Medium 16
Low 3,Medium 12,High 13,High 14,Medium 15,High 16
High 3,Medium 12,High 13,High 14,High 15,High 16
Medium 3,High 12,High 13,Medium 14,High 15,High 16
Medium 3,Medium 12,High 13,High 14,High 15,High 16
High 3,Low 12,High 13,High 14,Medium 15,High 16
Medium 3,High 12,High 13,High 14,High 15,High 16
High 3,Medium 12,High 13,Low 14,Medium 15,Medium 16
Medium 3,Low 12,High 13,High 14,Medium 15,High 16
High 3,Low 12,High 13,High 14,Medium 15,High 16
High 3,Low 12,High 13,High 14,Medium 15,High 16
High 3,Medium 12,High 13,Medium 14,Medium 15,High 16
Medium 3,High 12,High 13,Medium 14,High 15,High 16
High 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Medium 3,High 12,High 13,Medium 14,High 15,Medium 16
Medium 3,Medium 12,High 13,High 14,High 15,Low 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Medium 3,High 12,Low 13,Medium 14,Medium 15,Medium 16
Medium 3,High 12,High 13,High 14,High 15,Medium 16
Medium 3,High 12,High 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
High 3,Medium 12,High 13,Medium 14,Medium 15,Medium 16
High 3,High 12,High 13,High 14,High 15,Low 16
High 3,Low 12,High 13,Medium 14,Medium 15,Low 16
Medium 3,Medium 12,High 13,High 14,High 15,Low 16
Medium 3,Low 12,Low 13,Low 14,Low 15,High 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Medium 13,Medium 14,Low 15,High 16
High 3,Low 12,Low 13,Low 14,Low 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Medium 16
High 3,Low 12,Medium 13,Low 14,Medium 15,High 16
High 3,Low 12,Medium 13,Medium 14,Low 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,High 16
High 3,Low 12,Low 13,Low 14,Low 15,High 16
High 3,Low 12,High 13,High 14,Low 15,High 16
High 3,Low 12,High 13,High 14,Medium 15,High 16
High 3,Low 12,High 13,High 14,Medium 15,Medium 16
High 3,Medium 12,High 13,High 14,Low 15,Medium 16
Medium 3,Medium 12,High 13,High 14,Medium 15,High 16
High 3,Medium 12,Medium 13,Medium 14,Medium 15,High 16
High 3,High 12,High 13,High 14,High 15,High 16
High 3,Medium 12,Medium 13,High 14,Medium 15,Medium 16
High 3,Low 12,High 13,High 14,Medium 15,High 16
Medium 3,Low 12,Medium 13,Medium 14,Medium 15,High 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,High 16
Medium 3,Low 12,High 13,High 14,Low 15,High 16
High 3,Medium 12,Low 13,Low 14,Low 15,High 16
High 3,Medium 12,Low 13,Low 14,Low 15,High 16
High 3,Low 12,Low 13,Medium 14,Low 15,High 16
High 3,Low 12,Medium 13,Medium 14,Low 15,High 16
High 3,Low 12,Medium 13,Medium 14,Low 15,High 16
Medium 3,High 12,Medium 13,High 14,Medium 15,High 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Medium 3,Low 12,Medium 13,High 14,Low 15,High 16
Low 3,Medium 12,Medium 13,High 14,Medium 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,Medium 16
Low 3,High 12,Medium 13,Medium 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,Medium 16
Medium 3,Medium 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,Low 16
Medium 3,High 12,High 13,High 14,High 15,Medium 16
Medium 3,Medium 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,High 13,Medium 14,High 15,Medium 16
Low 3,Medium 12,High 13,High 14,High 15,Medium 16
Medium 3,High 12,High 13,High 14,High 15,High 16
Low 3,Medium 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,Medium 13,High 14,High 15,High 16
Medium 3,Low 12,Low 13,Low 14,Low 15,Medium 16
Low 3,Low 12,Low 13,Low 14,Low 15,Medium 16
Medium 3,Low 12,Low 13,Medium 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Low 16
Medium 3,Medium 12,Low 13,Low 14,Low 15,Low 16
High 3,Medium 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Low 13,Medium 14,Low 15,Medium 16
Low 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,High 13,High 14,Low 15,Low 16
Low 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Low 13,Low 14,Low 15,Low 16
Low 3,Low 12,Low 13,Low 14,Low 15,Low 16
Low 3,Medium 12,Low 13,Medium 14,Low 15,Low 16
Low 3,Medium 12,Low 13,Medium 14,Low 15,Low 16
Low 3,Low 12,Low 13,Medium 14,Low 15,Low 16
Medium 3,High 12,Low 13,Low 14,Medium 15,Medium 16
Medium 3,Low 12,Medium 13,Medium 14,Low 15,Medium 16
High 3,Low 12,Low 13,Medium 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Medium 12,High 13,High 14,Medium 15,High 16
Low 3,High 12,High 13,Medium 14,High 15,Medium 16
Medium 3,High 12,High 13,High 14,Medium 15,High 16
Low 3,Medium 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,High 13,High 14,Medium 15,High 16
Medium 3,Medium 12,High 13,High 14,High 15,Medium 16
High 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
Medium 3,High 12,Medium 13,Medium 14,Medium 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,Low 12,High 13,High 14,Medium 15,Medium 16
Medium 3,High 12,Medium 13,Medium 14,High 15,High 16
High 3,Medium 12,Low 13,Low 14,Medium 15,Medium 16
High 3,Low 12,Medium 13,Low 14,Low 15,Medium 16
Medium 3,Low 12,Medium 13,Low 14,Low 15,Medium 16
Medium 3,Low 12,High 13,High 14,Low 15,Medium 16
High 3,Low 12,High 13,High 14,Low 15,Medium 16
Medium 3,Low 12,Medium 13,High 14,Low 15,Medium 16
Medium 3,Low 12,Medium 13,Medium 14,Low 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
Medium 3,Low 12,Medium 13,Medium 14,Low 15,Medium 16
Low 3,Low 12,Medium 13,High 14,Medium 15,Medium 16
Low 3,High 12,High 13,High 14,High 15,High 16
Low 3,High 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,Medium 13,Low 14,Medium 15,Medium 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Medium 16
Medium 3,Low 12,Medium 13,Medium 14,Low 15,Low 16
Medium 3,Low 12,Medium 13,Low 14,Low 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,High 13,High 14,Medium 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Medium 13,High 14,Low 15,Medium 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Low 13,High 14,Low 15,Low 16
High 3,Low 12,Low 13,Medium 14,Low 15,Low 16
High 3,Low 12,Low 13,Medium 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
High 3,Low 12,Medium 13,Medium 14,Low 15,Low 16
High 3,Low 12,Low 13,Low 14,Low 15,Low 16
Low 3,High 12,High 13,High 14,High 15,Medium 16
Low 3,Medium 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,High 13,Medium 14,Medium 15,Medium 16
High 3,High 12,Medium 13,Low 14,High 15,Low 16
High 3,High 12,Medium 13,Medium 14,Medium 15,Medium 16
High 3,Medium 12,High 13,High 14,High 15,Medium 16
High 3,Medium 12,High 13,High 14,Medium 15,Medium 16
High 3,Low 12,High 13,High 14,Medium 15,Low 16
High 3,Medium 12,High 13,High 14,Medium 15,Low 16
High 3,Medium 12,Low 13,Low 14,Medium 15,Low 16
High 3,Medium 12,High 13,High 14,High 15,Medium 16
Medium 3,Medium 12,High 13,High 14,High 15,Medium 16
High 3,Medium 12,High 13,High 14,High 15,Medium 16
High 3,High 12,High 13,High 14,High 15,High 16
Medium 3,Medium 12,Medium 13,Medium 14,Medium 15,Medium 16
Medium 3,Medium 12,High 13,High 14,Medium 15,Medium 16
Medium 3,High 12,Medium 13,Medium 14,High 15,Medium 16
Medium 3,High 12,Medium 13,High 14,High 15,Low 16
High 3,High 12,High 13,High 14,High 15,Medium 16
High 3,Medium 12,High 13,High 14,High 15,Medium 16
High 3,Low 12,Medium 13,High 14,Medium 15,High 16
High 3,Low 12,High 13,Medium 14,Low 15,High 16
High 3,Low 12,Medium 13,High 14,Low 15,Medium 16
High 3,Medium 12,Medium 13,Low 14,Medium 15,Low 16
Medium 3,Medium 12,High 13,High 14,Medium 15,Medium 16
High 3,Medium 12,Medium 13,Medium 14,Medium 15,Medium 16
High 3,High 12,Medium 13,High 14,High 15,Low 16
High 3,Low 12,High 13,High 14,Medium 15,Medium 16
High 3,Low 12,High 13,Medium 14,Medium 15,Medium 16
High 3,Low 12,Medium 13,Medium 14,Medium 15,Low 16
High 3,Low 12,Medium 13,Low 14,Low 15,Low 16
High 3,Low 12,High 13,Medium 14,Medium 15,Low 16
High 3,Low 12,Medium 13,Medium 14,Low 15,Low 16
High 3,Low 12,Medium 13,Medium 14,Low 15,Medium 16
Medium 3,Medium 12,Low 13,Medium 14,Low 15,High 16
High 3,Low 12,High 13,High 14,Medium 15,High 16
High 3,High 12,Medium 13,Medium 14,Medium 15,Low 16
High 3,High 12,Low 13,Low 14,Medium 15,Low 16
High 3,High 12,Low 13,Low 14,Medium 15,Low 16
